so_id,supplier_id,user_id,priority,status,order_date,expected_delivery_date,actual_delivery_date,tracking_no
197,2,1,High,Received,2025-05-12,2025-05-24,2025-05-24,TRK-000197
198,6,1,High,Received,2024-01-10,2024-01-24,2024-01-28,TRK-000198
199,6,1,Low,Received,2025-05-24,2025-06-07,2025-06-07,TRK-000199
200,1,1,Low,Received,2024-01-02,2024-01-09,2024-01-09,TRK-000200
201,1,1,Normal,Received,2025-05-21,2025-05-28,2025-05-28,TRK-000201
202,6,1,Low,Received,2024-01-15,2024-01-29,2024-02-02,TRK-000202
203,6,1,Low,Received,2025-05-26,2025-06-09,2025-06-09,TRK-000203
204,1,1,Low,Received,2024-01-08,2024-01-15,2024-01-15,TRK-000204
205,1,1,High,Received,2025-05-22,2025-05-29,2025-06-02,TRK-000205
206,2,1,Normal,Received,2024-01-03,2024-01-15,2024-01-17,TRK-000206
207,2,1,Normal,Received,2024-10-29,2024-11-10,2024-11-10,TRK-000207
208,2,1,High,Received,2025-08-25,2025-09-06,2025-09-10,TRK-000208
209,1,1,Normal,Received,2024-01-12,2024-01-19,2024-01-19,TRK-000209
210,1,1,Low,Cancelled,2025-05-23,2025-05-30,,TRK-000210
211,6,1,Normal,Cancelled,2024-01-10,2024-01-24,,TRK-000211
212,6,1,Normal,Received,2025-05-19,2025-06-02,2025-06-02,TRK-000212
213,2,1,Normal,Received,2024-01-07,2024-01-19,2024-01-20,TRK-000213
214,2,1,Normal,Cancelled,2025-05-26,2025-06-07,,TRK-000214
215,5,1,Low,Received,2024-01-13,2024-01-19,2024-01-19,TRK-000215
216,5,1,Normal,Received,2024-09-18,2024-09-24,2024-09-24,TRK-000216
217,5,1,Low,Cancelled,2025-05-17,2025-05-23,,TRK-000217
218,1,1,Low,Received,2024-01-01,2024-01-08,2024-01-09,TRK-000218
219,1,1,Normal,Received,2024-05-11,2024-05-18,2024-05-18,TRK-000219
220,1,1,Normal,Received,2024-09-23,2024-09-30,2024-09-30,TRK-000220
221,1,1,High,Received,2025-02-01,2025-02-08,2025-02-08,TRK-000221
222,1,1,Normal,Received,2025-06-17,2025-06-24,2025-06-24,TRK-000222
223,1,1,High,Cancelled,2025-10-31,2025-11-07,,TRK-000223
224,6,1,High,Cancelled,2024-01-12,2024-01-26,,TRK-000224
225,6,1,Normal,Received,2025-05-29,2025-06-12,2025-06-12,TRK-000225
226,2,1,High,Received,2024-01-14,2024-01-26,2024-01-26,TRK-000226
227,2,1,Normal,Received,2025-05-25,2025-06-06,2025-06-06,TRK-000227
228,1,1,Low,Received,2024-01-02,2024-01-09,2024-01-09,TRK-000228
229,1,1,Normal,Received,2024-03-17,2024-03-24,2024-03-24,TRK-000229
230,1,1,Normal,Received,2024-05-29,2024-06-05,2024-06-05,TRK-000230
231,1,1,Normal,Received,2024-08-10,2024-08-17,2024-08-17,TRK-000231
232,1,1,Low,Received,2024-10-25,2024-11-01,2024-11-01,TRK-000232
233,1,1,Normal,Received,2025-01-01,2025-01-08,2025-01-08,TRK-000233
234,1,1,Low,Received,2025-03-16,2025-03-23,2025-03-23,TRK-000234
235,1,1,Low,Cancelled,2025-05-31,2025-06-07,,TRK-000235
236,1,1,Normal,Cancelled,2025-08-08,2025-08-15,,TRK-000236
237,1,1,High,Received,2025-10-23,2025-10-30,2025-11-01,TRK-000237
238,1,1,Normal,Received,2024-01-11,2024-01-18,2024-01-20,TRK-000238
239,1,1,Normal,Received,2024-05-21,2024-05-28,2024-05-28,TRK-000239
240,1,1,Normal,Received,2024-09-30,2024-10-07,2024-10-07,TRK-000240
241,1,1,Normal,Received,2025-02-03,2025-02-10,2025-02-10,TRK-000241
242,1,1,Low,Received,2025-06-13,2025-06-20,2025-06-20,TRK-000242
243,1,1,Normal,Received,2025-10-24,2025-10-31,2025-10-31,TRK-000243
244,2,1,Normal,Received,2024-01-05,2024-01-17,2024-01-17,TRK-000244
245,2,1,High,Cancelled,2025-05-24,2025-06-05,,TRK-000245
246,6,1,Normal,Cancelled,2024-01-02,2024-01-16,,TRK-000246
247,6,1,Normal,Cancelled,2025-05-13,2025-05-27,,TRK-000247
248,6,1,Low,Received,2024-01-14,2024-01-28,2024-01-28,TRK-000248
249,6,1,Normal,Cancelled,2025-05-29,2025-06-12,,TRK-000249
250,1,1,Normal,Received,2024-01-07,2024-01-14,2024-01-14,TRK-000250
251,1,1,High,Received,2025-05-05,2025-05-12,2025-05-12,TRK-000251
252,2,1,High,Received,2024-01-08,2024-01-20,2024-01-20,TRK-000252
253,2,1,Low,Received,2025-05-24,2025-06-05,2025-06-05,TRK-000253
254,3,1,High,Received,2024-01-07,2024-01-12,2024-01-12,TRK-000254
255,3,1,Normal,Received,2025-01-24,2025-01-29,2025-02-02,TRK-000255
256,4,1,Low,Received,2024-01-06,2024-01-10,2024-01-14,TRK-000256
257,4,1,Normal,Cancelled,2025-05-22,2025-05-26,,TRK-000257
258,1,1,Low,Received,2024-01-03,2024-01-10,2024-01-10,TRK-000258
259,1,1,Normal,Cancelled,2025-05-14,2025-05-21,,TRK-000259
260,4,1,Low,Cancelled,2024-01-15,2024-01-19,,TRK-000260
261,4,1,Normal,Cancelled,2024-06-07,2024-06-11,,TRK-000261
262,4,1,Normal,Received,2024-10-30,2024-11-03,2024-11-03,TRK-000262
263,4,1,Normal,Received,2025-03-26,2025-03-30,2025-04-01,TRK-000263
264,4,1,Normal,Received,2025-08-17,2025-08-21,2025-08-21,TRK-000264
265,2,1,High,Received,2024-01-07,2024-01-19,2024-01-19,TRK-000265
266,2,1,Low,Received,2025-05-20,2025-06-01,2025-06-01,TRK-000266
267,4,1,High,Received,2024-01-04,2024-01-08,2024-01-08,TRK-000267
268,4,1,Normal,Received,2024-02-24,2024-02-28,2024-03-04,TRK-000268
269,4,1,Low,Cancelled,2024-04-16,2024-04-20,,TRK-000269
270,4,1,Normal,Received,2024-06-08,2024-06-12,2024-06-12,TRK-000270
271,4,1,Normal,Cancelled,2024-08-01,2024-08-05,,TRK-000271
272,4,1,Low,Received,2024-09-23,2024-09-27,2024-09-27,TRK-000272
273,4,1,Normal,Cancelled,2024-11-13,2024-11-17,,TRK-000273
274,4,1,Normal,Received,2024-12-29,2025-01-02,2025-01-02,TRK-000274
275,4,1,High,Received,2025-02-18,2025-02-22,2025-02-22,TRK-000275
276,4,1,Normal,Received,2025-04-03,2025-04-07,2025-04-07,TRK-000276
277,4,1,Normal,Received,2025-05-18,2025-05-22,2025-05-22,TRK-000277
278,4,1,Normal,Received,2025-07-05,2025-07-09,2025-07-11,TRK-000278
279,4,1,Low,Received,2025-08-23,2025-08-27,2025-08-27,TRK-000279
280,4,1,Normal,Received,2025-10-15,2025-10-19,2025-10-19,TRK-000280
281,4,1,High,Received,2025-11-29,2025-12-03,2025-12-03,TRK-000281
282,2,1,Normal,Received,2024-01-06,2024-01-18,2024-01-18,TRK-000282
283,2,1,Normal,Received,2025-05-24,2025-06-05,2025-06-05,TRK-000283
284,5,1,Low,Received,2024-01-04,2024-01-10,2024-01-10,TRK-000284
285,5,1,Normal,Received,2024-03-24,2024-03-30,2024-03-30,TRK-000285
286,5,1,Low,Received,2024-06-11,2024-06-17,2024-06-17,TRK-000286
287,5,1,Normal,Received,2024-09-02,2024-09-08,2024-09-11,TRK-000287
288,5,1,Low,Received,2024-11-23,2024-11-29,2024-11-29,TRK-000288
289,5,1,Normal,Cancelled,2025-02-11,2025-02-17,,TRK-000289
290,5,1,Normal,Received,2025-05-09,2025-05-15,2025-05-15,TRK-000290
291,5,1,Normal,Received,2025-08-05,2025-08-11,2025-08-11,TRK-000291
292,5,1,Normal,Received,2025-10-31,2025-11-06,2025-11-06,TRK-000292
293,3,1,Normal,Received,2024-01-03,2024-01-08,2024-01-08,TRK-000293
294,3,1,Low,Received,2025-05-19,2025-05-24,2025-05-24,TRK-000294
295,2,1,Normal,Received,2024-01-11,2024-01-23,2024-01-24,TRK-000295
296,2,1,Normal,Received,2025-01-30,2025-02-11,2025-02-11,TRK-000296
297,2,1,Normal,Cancelled,2024-01-13,2024-01-25,,TRK-000297
298,2,1,Normal,Received,2025-05-31,2025-06-12,2025-06-13,TRK-000298
299,1,1,High,Received,2024-01-07,2024-01-14,2024-01-14,TRK-000299
300,1,1,Normal,Received,2025-05-18,2025-05-25,2025-05-25,TRK-000300
301,1,1,High,Received,2024-01-14,2024-01-21,2024-01-21,TRK-000301
302,1,1,Normal,Received,2025-05-31,2025-06-07,2025-06-07,TRK-000302
303,5,1,High,Received,2024-01-09,2024-01-15,2024-01-15,TRK-000303
304,5,1,Low,Received,2025-05-19,2025-05-25,2025-05-25,TRK-000304
305,2,1,High,Received,2024-01-07,2024-01-19,2024-01-19,TRK-000305
306,2,1,Normal,Received,2025-04-06,2025-04-18,2025-04-18,TRK-000306
307,1,1,High,Received,2024-01-10,2024-01-17,2024-01-17,TRK-000307
308,1,1,Low,Received,2024-10-20,2024-10-27,2024-10-27,TRK-000308
309,1,1,Normal,Received,2025-07-31,2025-08-07,2025-08-07,TRK-000309
310,2,1,High,Received,2024-01-15,2024-01-27,2024-01-27,TRK-000310
311,2,1,High,Received,2025-02-05,2025-02-17,2025-02-17,TRK-000311
312,1,1,Low,Received,2024-01-07,2024-01-14,2024-01-14,TRK-000312
313,1,1,Normal,Received,2024-08-04,2024-08-11,2024-08-11,TRK-000313
314,1,1,High,Received,2025-02-26,2025-03-05,2025-03-05,TRK-000314
315,1,1,Normal,Received,2025-09-23,2025-09-30,2025-09-30,TRK-000315
316,5,1,High,Received,2024-01-06,2024-01-12,2024-01-13,TRK-000316
317,5,1,Normal,Received,2025-05-18,2025-05-24,2025-05-24,TRK-000317
318,2,1,Low,Received,2024-01-06,2024-01-18,2024-01-18,TRK-000318
319,2,1,Low,Cancelled,2025-05-23,2025-06-04,,TRK-000319
320,3,1,High,Received,2024-01-10,2024-01-15,2024-01-15,TRK-000320
321,3,1,Normal,Received,2025-05-26,2025-05-31,2025-05-31,TRK-000321
322,1,1,Normal,Received,2024-01-02,2024-01-09,2024-01-09,TRK-000322
323,1,1,Normal,Received,2025-05-12,2025-05-19,2025-05-19,TRK-000323
324,2,1,Low,Received,2024-01-04,2024-01-16,2024-01-16,TRK-000324
325,2,1,Low,Received,2025-05-16,2025-05-28,2025-05-30,TRK-000325
326,3,1,Normal,Received,2024-01-06,2024-01-11,2024-01-11,TRK-000326
327,3,1,Low,Received,2025-05-18,2025-05-23,2025-05-23,TRK-000327
328,2,1,Low,Received,2024-01-05,2024-01-17,2024-01-17,TRK-000328
329,2,1,Low,Received,2025-05-17,2025-05-29,2025-05-29,TRK-000329
330,1,1,Normal,Received,2024-01-08,2024-01-15,2024-01-15,TRK-000330
331,1,1,Normal,Cancelled,2025-05-23,2025-05-30,,TRK-000331
332,1,1,Low,Received,2024-01-11,2024-01-18,2024-01-18,TRK-000332
333,1,1,High,Cancelled,2025-05-26,2025-06-02,,TRK-000333
334,1,1,Low,Cancelled,2024-01-01,2024-01-08,,TRK-000334
335,1,1,Low,Cancelled,2025-05-13,2025-05-20,,TRK-000335
336,3,1,Low,Received,2024-01-03,2024-01-08,2024-01-08,TRK-000336
337,3,1,Normal,Received,2025-05-15,2025-05-20,2025-05-24,TRK-000337
338,2,1,Normal,Received,2024-01-02,2024-01-14,2024-01-14,TRK-000338
339,2,1,High,Received,2025-05-13,2025-05-25,2025-05-25,TRK-000339
340,1,1,High,Received,2024-01-04,2024-01-11,2024-01-11,TRK-000340
341,1,1,Normal,Received,2025-05-23,2025-05-30,2025-05-30,TRK-000341
342,1,1,Normal,Received,2024-01-06,2024-01-13,2024-01-13,TRK-000342
343,1,1,Normal,Received,2025-05-25,2025-06-01,2025-06-01,TRK-000343
344,2,1,Normal,Received,2024-01-04,2024-01-16,2024-01-16,TRK-000344
345,2,1,Normal,Received,2025-05-17,2025-05-29,2025-05-29,TRK-000345
346,1,1,Normal,Cancelled,2024-01-06,2024-01-13,,TRK-000346
347,1,1,High,Received,2024-10-01,2024-10-08,2024-10-08,TRK-000347
348,1,1,Low,Received,2025-06-29,2025-07-06,2025-07-06,TRK-000348
349,2,1,High,Received,2024-01-02,2024-01-14,2024-01-14,TRK-000349
