log_id,item_id,user_id,log_type,quantity_changed,stock_after_change,reference_so_id,notes,timestamp
106,4,4,SALE,-10,9,,Ref: sales_id=56,2024-01-24 10:55:08
107,4,3,SALE,-1,8,,Ref: sales_id=224,2024-05-17 16:36:26
108,4,3,SALE,-1,7,,Ref: sales_id=243,2024-05-27 16:30:48
109,4,2,SALE,-1,6,,Ref: sales_id=301,2024-06-27 14:34:27
110,4,4,SALE,-1,5,,Ref: sales_id=375,2024-08-16 15:08:23
111,4,1,RESTOCK,14,19,14.0,Stock received from supplier,2024-11-09 09:00:00
112,4,2,SALE,-1,18,,Ref: sales_id=698,2024-12-05 15:49:44
113,4,4,SALE,-1,17,,Ref: sales_id=711,2024-12-09 13:29:47
114,4,4,SALE,-1,16,,Ref: sales_id=848,2025-01-15 13:33:37
115,4,4,SALE,-1,15,,Ref: sales_id=988,2025-02-17 10:59:32
116,4,4,SALE,-1,14,,Ref: sales_id=1042,2025-03-13 17:45:05
117,4,4,SALE,-1,13,,Ref: sales_id=1131,2025-05-16 08:12:00
118,4,1,RESTOCK,8,21,15.0,Stock received from supplier,2025-08-19 09:00:00
119,4,2,SALE,-3,18,,Ref: sales_id=1390,2025-11-15 17:42:15
120,5,1,MANUAL_ADJUSTMENT,25,25,,Initial stock load (system go-live),2024-01-01 07:00:00
121,5,1,RESTOCK,39,64,17.0,Stock received from supplier,2024-03-09 09:00:00
122,5,1,RESTOCK,39,103,18.0,Stock received from supplier,2024-04-22 09:00:00
123,5,1,RESTOCK,37,140,19.0,Stock received from supplier,2024-06-09 09:00:00
124,5,1,RESTOCK,36,176,20.0,Stock received from supplier,2024-07-28 09:00:00
125,5,1,RESTOCK,38,214,21.0,Stock received from supplier,2024-09-14 09:00:00
126,5,1,RESTOCK,36,250,22.0,Stock received from supplier,2024-11-06 09:00:00
127,5,1,RESTOCK,41,291,23.0,Stock received from supplier,2024-12-21 09:00:00
128,5,3,SALE,-200,91,,Ref: sales_id=870,2025-01-22 08:11:15
129,5,4,SALE,-91,0,,Ref: sales_id=894,2025-01-23 11:45:09
130,5,1,RESTOCK,38,38,25.0,Stock received from supplier,2025-03-25 09:00:00
131,5,1,RESTOCK,37,75,27.0,Stock received from supplier,2025-06-23 09:00:00
132,5,3,SALE,-75,0,,Ref: sales_id=1223,2025-07-06 15:47:10
133,5,1,RESTOCK,35,35,28.0,Stock received from supplier,2025-08-14 09:00:00
134,5,1,RESTOCK,35,70,29.0,Stock received from supplier,2025-09-24 09:00:00
135,5,1,RESTOCK,37,107,30.0,Stock received from supplier,2025-11-11 09:00:00
136,6,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
137,6,1,RESTOCK,9,19,31.0,Stock received from supplier,2024-01-08 09:00:00
138,6,4,SALE,-1,18,,Ref: sales_id=38,2024-01-20 14:13:16
139,6,2,SALE,-2,16,,Ref: sales_id=261,2024-06-04 15:37:08
140,6,3,SALE,-2,14,,Ref: sales_id=299,2024-06-26 16:07:03
141,6,3,SALE,-10,4,,Ref: sales_id=310,2024-07-03 17:18:13
142,6,4,SALE,-1,3,,Ref: sales_id=413,2024-09-19 15:19:57
143,6,3,SALE,-1,2,,Ref: sales_id=493,2024-10-25 13:01:51
144,6,2,SALE,-1,1,,Ref: sales_id=716,2024-12-11 09:48:17
145,6,1,RESTOCK,13,14,32.0,Stock received from supplier,2025-01-27 09:00:00
146,6,2,SALE,-1,13,,Ref: sales_id=1026,2025-03-11 13:22:52
147,7,1,MANUAL_ADJUSTMENT,14,14,,Initial stock load (system go-live),2024-01-01 07:00:00
148,7,1,RESTOCK,23,37,33.0,Stock received from supplier,2024-01-07 09:00:00
149,7,1,RESTOCK,23,60,34.0,Stock received from supplier,2024-02-27 09:00:00
150,7,1,RESTOCK,25,85,35.0,Stock received from supplier,2024-04-12 09:00:00
151,7,2,SALE,-50,35,,Ref: sales_id=220,2024-05-16 11:00:27
152,7,1,RESTOCK,26,61,36.0,Stock received from supplier,2024-06-05 09:00:00
153,7,1,RESTOCK,24,85,37.0,Stock received from supplier,2024-07-18 09:00:00
154,7,2,SALE,-1,84,,Ref: sales_id=358,2024-08-03 13:03:12
155,7,4,SALE,-84,0,,Ref: sales_id=381,2024-08-19 10:55:39
156,7,1,RESTOCK,26,26,38.0,Stock received from supplier,2024-09-05 09:00:00
157,7,1,RESTOCK,20,46,39.0,Stock received from supplier,2024-10-20 09:00:00
158,7,1,RESTOCK,23,69,40.0,Stock received from supplier,2024-12-05 09:00:00
159,7,1,RESTOCK,20,89,41.0,Stock received from supplier,2025-01-18 09:00:00
160,7,4,SALE,-89,0,,Ref: sales_id=872,2025-01-22 12:34:02
161,7,1,RESTOCK,20,20,42.0,Stock received from supplier,2025-03-10 09:00:00
162,7,1,RESTOCK,23,43,43.0,Stock received from supplier,2025-04-28 09:00:00
163,7,1,RESTOCK,26,69,46.0,Stock received from supplier,2025-09-21 09:00:00
164,7,1,RESTOCK,23,92,47.0,Stock received from supplier,2025-11-05 09:00:00
165,7,1,RESTOCK,22,114,48.0,Stock received from supplier,2025-12-21 09:00:00
166,8,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
167,8,3,SALE,-1,9,,Ref: sales_id=4,2024-01-04 16:54:27
168,8,1,RESTOCK,10,19,49.0,Stock received from supplier,2024-01-10 09:00:00
169,8,3,SALE,-1,18,,Ref: sales_id=25,2024-01-17 15:02:56
170,8,2,SALE,-2,16,,Ref: sales_id=240,2024-05-25 17:09:33
171,8,4,SALE,-2,14,,Ref: sales_id=324,2024-07-13 16:54:43
172,8,4,SALE,-1,13,,Ref: sales_id=447,2024-09-26 12:38:28
173,8,1,RESTOCK,10,23,50.0,Stock received from supplier,2024-10-26 09:00:00
174,8,4,SALE,-1,22,,Ref: sales_id=533,2024-11-14 11:43:56
175,8,3,SALE,-1,21,,Ref: sales_id=543,2024-11-18 16:26:49
176,8,2,SALE,-1,20,,Ref: sales_id=563,2024-11-27 15:41:11
177,8,4,SALE,-1,19,,Ref: sales_id=818,2025-01-07 10:48:53
178,8,2,SALE,-1,18,,Ref: sales_id=889,2025-01-23 15:26:12
179,8,3,SALE,-2,16,,Ref: sales_id=925,2025-01-31 12:16:40
180,8,4,SALE,-2,14,,Ref: sales_id=915,2025-01-31 15:01:05
181,8,3,SALE,-1,13,,Ref: sales_id=914,2025-01-31 17:04:54
182,8,3,SALE,-1,12,,Ref: sales_id=968,2025-02-12 11:41:16
183,8,2,SALE,-1,11,,Ref: sales_id=1007,2025-02-24 15:08:23
184,8,4,SALE,-2,9,,Ref: sales_id=1052,2025-03-18 16:19:48
185,8,4,SALE,-1,8,,Ref: sales_id=1179,2025-06-10 16:20:37
186,8,2,SALE,-1,7,,Ref: sales_id=1183,2025-06-14 09:25:59
187,8,2,SALE,-1,6,,Ref: sales_id=1204,2025-06-28 13:11:39
188,8,3,SALE,-1,5,,Ref: sales_id=1409,2025-12-16 08:37:01
189,9,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
190,9,1,RESTOCK,13,23,52.0,Stock received from supplier,2024-01-27 09:00:00
191,9,4,SALE,-1,22,,Ref: sales_id=372,2024-08-12 08:47:42
192,9,1,RESTOCK,9,31,53.0,Stock received from supplier,2024-10-17 09:00:00
193,9,4,SALE,-1,30,,Ref: sales_id=510,2024-10-30 14:19:48
194,9,4,SALE,-1,29,,Ref: sales_id=517,2024-11-01 10:47:02
195,9,4,SALE,-1,28,,Ref: sales_id=556,2024-11-22 12:20:25
196,9,3,SALE,-1,27,,Ref: sales_id=719,2024-12-12 08:43:15
197,9,3,SALE,-1,26,,Ref: sales_id=756,2024-12-16 09:00:22
198,9,2,SALE,-1,25,,Ref: sales_id=761,2024-12-16 12:23:37
199,9,3,SALE,-1,24,,Ref: sales_id=812,2024-12-28 08:46:26
200,9,3,SALE,-3,21,,Ref: sales_id=869,2025-01-21 14:58:30
201,9,4,SALE,-1,20,,Ref: sales_id=1016,2025-03-03 08:16:17
202,9,4,SALE,-1,19,,Ref: sales_id=1012,2025-03-03 15:47:19
203,9,2,SALE,-3,16,,Ref: sales_id=1098,2025-05-02 17:53:37
204,9,4,SALE,-1,15,,Ref: sales_id=1127,2025-05-16 12:01:52
205,9,1,RESTOCK,9,24,54.0,Stock received from supplier,2025-07-04 09:00:00
206,9,2,SALE,-1,23,,Ref: sales_id=1251,2025-07-23 10:55:04
207,9,4,SALE,-1,22,,Ref: sales_id=1344,2025-10-07 16:40:53
208,9,2,SALE,-1,21,,Ref: sales_id=1389,2025-11-15 09:31:52
209,9,4,SALE,-8,13,,Ref: sales_id=1391,2025-11-15 14:20:57
210,10,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
211,10,1,RESTOCK,9,19,55.0,Stock received from supplier,2024-01-26 09:00:00
212,10,2,SALE,-1,18,,Ref: sales_id=162,2024-03-21 17:05:31
213,10,4,SALE,-1,17,,Ref: sales_id=169,2024-04-02 12:30:57
214,10,4,SALE,-1,16,,Ref: sales_id=210,2024-05-15 14:34:54
215,10,4,SALE,-1,15,,Ref: sales_id=228,2024-05-20 12:33:41
216,10,4,SALE,-1,14,,Ref: sales_id=292,2024-06-20 14:26:02
217,10,4,SALE,-1,13,,Ref: sales_id=319,2024-07-11 11:34:40
218,10,3,SALE,-1,12,,Ref: sales_id=819,2025-01-08 10:58:20
219,10,1,RESTOCK,14,26,56.0,Stock received from supplier,2025-06-04 09:00:00
220,10,4,SALE,-1,25,,Ref: sales_id=1194,2025-06-23 16:00:43
221,10,3,SALE,-1,24,,Ref: sales_id=1404,2025-12-12 09:31:08
222,11,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
223,11,2,SALE,-4,6,,Ref: sales_id=1,2024-01-03 12:10:23
224,11,3,SALE,-2,4,,Ref: sales_id=50,2024-01-22 08:16:19
225,11,3,SALE,-1,3,,Ref: sales_id=48,2024-01-22 08:19:06
226,11,2,SALE,-3,0,,Ref: sales_id=54,2024-01-24 15:28:31
227,11,2,SALE,0,0,,Ref: sales_id=71,2024-01-26 08:01:20
228,11,1,RESTOCK,11,11,57.0,Stock received from supplier,2024-01-26 09:00:00
229,11,3,SALE,-1,10,,Ref: sales_id=143,2024-03-05 08:49:45
230,11,2,SALE,-1,9,,Ref: sales_id=242,2024-05-27 17:33:02
231,11,3,SALE,-1,8,,Ref: sales_id=263,2024-06-04 15:50:24
232,11,2,SALE,-1,7,,Ref: sales_id=300,2024-06-27 17:48:42
233,11,1,RESTOCK,12,19,58.0,Stock received from supplier,2024-07-25 09:00:00
234,11,3,SALE,-1,18,,Ref: sales_id=360,2024-08-06 09:24:45
235,11,2,SALE,-1,17,,Ref: sales_id=421,2024-09-20 11:38:43
236,11,2,SALE,-1,16,,Ref: sales_id=424,2024-09-20 14:10:15
237,11,4,SALE,-1,15,,Ref: sales_id=550,2024-11-20 09:40:12
238,11,4,SALE,-1,14,,Ref: sales_id=551,2024-11-20 15:50:42
239,11,3,SALE,-1,13,,Ref: sales_id=864,2025-01-18 16:14:50
240,11,1,RESTOCK,12,25,59.0,Stock received from supplier,2025-01-22 09:00:00
241,11,2,SALE,-1,24,,Ref: sales_id=1050,2025-03-18 14:07:27
242,11,1,RESTOCK,10,34,60.0,Stock received from supplier,2025-07-14 09:00:00
243,11,4,SALE,-1,33,,Ref: sales_id=1272,2025-07-31 11:53:09
244,11,3,SALE,-10,23,,Ref: sales_id=1276,2025-08-03 08:07:50
245,11,3,SALE,-1,22,,Ref: sales_id=1418,2025-12-24 10:46:44
246,12,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
247,12,1,RESTOCK,12,22,61.0,Stock received from supplier,2024-01-14 09:00:00
248,12,2,SALE,-1,21,,Ref: sales_id=377,2024-08-16 09:54:13
249,12,4,SALE,-3,18,,Ref: sales_id=506,2024-10-30 10:19:23
250,12,4,SALE,-1,17,,Ref: sales_id=631,2024-11-29 10:10:43
251,12,4,SALE,-1,16,,Ref: sales_id=1025,2025-03-11 12:33:44
252,12,2,SALE,-1,15,,Ref: sales_id=1129,2025-05-16 13:41:18
253,12,1,RESTOCK,11,26,62.0,Stock received from supplier,2025-06-02 09:00:00
254,12,2,SALE,-1,25,,Ref: sales_id=1205,2025-07-01 14:08:28
255,12,3,SALE,-1,24,,Ref: sales_id=1330,2025-09-02 15:04:16
256,12,2,SALE,-1,23,,Ref: sales_id=1354,2025-10-14 10:21:02
257,12,2,SALE,-2,21,,Ref: sales_id=1386,2025-11-08 16:13:25
258,13,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
259,13,1,RESTOCK,8,18,63.0,Stock received from supplier,2024-01-20 09:00:00
260,13,3,SALE,-1,17,,Ref: sales_id=91,2024-02-06 10:26:20
261,13,4,SALE,-1,16,,Ref: sales_id=95,2024-02-08 08:32:19
262,13,4,SALE,-1,15,,Ref: sales_id=110,2024-02-16 09:37:16
263,13,2,SALE,-1,14,,Ref: sales_id=266,2024-06-06 12:19:56
264,13,4,SALE,-1,13,,Ref: sales_id=283,2024-06-15 13:50:46
265,13,3,SALE,-1,12,,Ref: sales_id=393,2024-09-02 13:35:18
266,13,2,SALE,-1,11,,Ref: sales_id=411,2024-09-19 11:41:27
267,13,3,SALE,-1,10,,Ref: sales_id=464,2024-10-06 14:54:15
268,13,2,RETURN,1,11,,Customer return of sales_id=464,2024-10-07 14:54:15
269,13,3,SALE,-1,10,,Ref: sales_id=523,2024-11-04 11:05:11
270,13,4,SALE,-1,9,,Ref: sales_id=590,2024-11-28 17:59:14
271,13,4,SALE,-1,8,,Ref: sales_id=699,2024-12-05 12:54:28
272,13,4,SALE,-1,7,,Ref: sales_id=814,2025-01-02 12:05:57
273,13,1,RESTOCK,13,20,64.0,Stock received from supplier,2025-01-03 09:00:00
274,13,2,SALE,-1,19,,Ref: sales_id=1002,2025-02-18 13:38:44
275,13,3,SALE,-1,18,,Ref: sales_id=1144,2025-05-22 13:58:09
276,13,2,SALE,-1,17,,Ref: sales_id=1180,2025-06-11 13:36:22
277,13,3,SALE,-1,16,,Ref: sales_id=1184,2025-06-15 16:31:33
278,13,3,SALE,-1,15,,Ref: sales_id=1192,2025-06-21 13:29:06
279,13,4,SALE,-1,14,,Ref: sales_id=1201,2025-06-25 08:39:46
280,13,2,SALE,-1,13,,Ref: sales_id=1341,2025-10-06 08:12:47
281,13,4,SALE,-1,12,,Ref: sales_id=1370,2025-10-29 12:27:58
282,13,1,RESTOCK,10,22,65.0,Stock received from supplier,2025-12-17 09:00:00
283,13,4,SALE,-1,21,,Ref: sales_id=1431,2025-12-30 08:50:26
284,14,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
285,14,1,RESTOCK,9,19,66.0,Stock received from supplier,2024-01-25 09:00:00
286,14,4,SALE,-1,18,,Ref: sales_id=192,2024-04-29 13:51:27
287,14,2,SALE,-1,17,,Ref: sales_id=313,2024-07-04 15:30:32
288,14,2,SALE,-1,16,,Ref: sales_id=371,2024-08-10 13:08:04
289,14,3,SALE,-1,15,,Ref: sales_id=671,2024-11-30 10:49:11
290,14,3,SALE,-1,14,,Ref: sales_id=733,2024-12-15 08:52:34
291,14,1,RESTOCK,13,27,67.0,Stock received from supplier,2025-06-09 09:00:00
292,14,4,SALE,-1,26,,Ref: sales_id=1249,2025-07-22 17:37:09
293,14,4,SALE,-1,25,,Ref: sales_id=1274,2025-08-02 12:25:44
294,14,4,SALE,-1,24,,Ref: sales_id=1278,2025-08-05 11:39:29
295,15,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
296,15,1,RESTOCK,11,21,68.0,Stock received from supplier,2024-01-09 09:00:00
297,15,2,SALE,-1,20,,Ref: sales_id=150,2024-03-15 09:47:31
298,15,3,SALE,-2,18,,Ref: sales_id=508,2024-10-30 09:24:05
299,15,2,SALE,-2,16,,Ref: sales_id=507,2024-10-30 12:03:33
300,15,3,SALE,-1,15,,Ref: sales_id=516,2024-10-31 14:08:39
301,15,4,RETURN,2,17,,Customer return of sales_id=507,2024-11-07 12:03:33
302,15,2,SALE,-1,16,,Ref: sales_id=562,2024-11-27 11:12:01
303,15,2,SALE,-2,14,,Ref: sales_id=976,2025-02-13 09:11:49
304,15,2,SALE,-1,13,,Ref: sales_id=1305,2025-08-16 15:08:52
305,16,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
306,16,3,SALE,-1,9,,Ref: sales_id=81,2024-02-02 11:57:27
307,16,4,SALE,-2,7,,Ref: sales_id=115,2024-02-16 10:39:37
308,16,3,SALE,-1,6,,Ref: sales_id=149,2024-03-15 10:02:35
309,16,4,SALE,-1,5,,Ref: sales_id=181,2024-04-17 13:26:42
310,16,4,SALE,-1,4,,Ref: sales_id=336,2024-07-16 16:38:36
311,16,3,SALE,-1,3,,Ref: sales_id=505,2024-10-30 14:56:25
312,16,3,SALE,-1,2,,Ref: sales_id=1004,2025-02-24 13:15:21
313,16,4,SALE,-1,1,,Ref: sales_id=1107,2025-05-07 13:40:21
314,16,3,SALE,-1,0,,Ref: sales_id=1336,2025-09-26 12:31:52
315,17,1,MANUAL_ADJUSTMENT,10,10,,Initial stock load (system go-live),2024-01-01 07:00:00
316,17,1,RESTOCK,14,24,72.0,Stock received from supplier,2024-01-24 09:00:00
317,17,4,SALE,-6,18,,Ref: sales_id=119,2024-02-22 13:49:47
318,17,1,RESTOCK,11,29,73.0,Stock received from supplier,2024-03-09 09:00:00
319,17,1,RESTOCK,12,41,74.0,Stock received from supplier,2024-04-17 09:00:00
320,17,2,SALE,-3,38,,Ref: sales_id=213,2024-05-15 09:16:36
321,17,1,RESTOCK,10,48,75.0,Stock received from supplier,2024-06-02 09:00:00
322,17,1,RESTOCK,10,58,76.0,Stock received from supplier,2024-07-10 09:00:00
323,17,1,RESTOCK,12,70,77.0,Stock received from supplier,2024-08-23 09:00:00
324,17,1,RESTOCK,12,82,78.0,Stock received from supplier,2024-09-30 09:00:00
325,17,4,SALE,-5,77,,Ref: sales_id=462,2024-10-03 17:42:16
326,17,1,RESTOCK,13,90,79.0,Stock received from supplier,2024-11-11 09:00:00
327,17,2,SALE,-5,85,,Ref: sales_id=602,2024-11-28 11:50:54
328,17,3,SALE,-7,78,,Ref: sales_id=569,2024-11-28 12:39:06
329,17,3,SALE,-5,73,,Ref: sales_id=596,2024-11-28 16:43:29
330,17,3,SALE,-7,66,,Ref: sales_id=614,2024-11-29 08:11:34
331,17,3,SALE,-5,61,,Ref: sales_id=627,2024-11-29 08:42:00
332,17,2,SALE,-12,49,,Ref: sales_id=664,2024-11-30 13:57:20
333,17,4,SALE,-10,39,,Ref: sales_id=655,2024-11-30 15:39:54
334,17,4,SALE,-10,29,,Ref: sales_id=686,2024-12-04 09:24:42
335,17,4,SALE,-10,19,,Ref: sales_id=687,2024-12-04 16:32:38
