item_id,supplier_id,item_name,category,size,unit_cost,selling_price,current_stock,rop_warning,abc_category,is_active,created_at,updated_at
82,5,Pco Ladies Pershing Cap,Accessories,,1430.0,2600.0,35,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
83,2,Flashlight,Equipment,,113.75,175.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
84,1,Og Plain,Clothes,,72.0,120.0,10,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
85,2,Bath Towel,Equipment,,110.5,170.0,12,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
86,1,Non Camouflage Olive Green Plain,Clothes,,72.0,120.0,15,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
87,5,Big Belt Fiber,Accessories,,1375.0,2500.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
88,2,Set Mess Kit,Equipment,,812.5,1250.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
89,3,Shoulder Board,Metal,,330.0,600.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
90,1,Sxr,Clothes,,480.0,800.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
91,2,Bigkiwi Brush,Equipment,,1514.5,2330.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
92,3,Pnp Badge,Metal,,632.5,1150.0,35,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
93,2,Vest Black,Equipment,,1495.0,2300.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
94,1,Field Serivce Uniforms,Clothes,,1380.0,2300.0,23,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
95,1,Ripstop,Clothes,,1380.0,2300.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
96,1,Cotton Pixilized,Clothes,,1380.0,2300.0,9,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
97,3,Pnco Buckle Santi,Metal,,632.5,1150.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
98,2,Radio Case,Equipment,,195.0,300.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
99,1,Patrol Shirt Uniform,Clothes,,1320.0,2200.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
100,1,Goa Upper,Clothes,,330.0,550.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
101,2,Rig Leather,Equipment,,1430.0,2200.0,35,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
102,1,Socks,Clothes,,54.0,90.0,10,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
103,2,Tactical Knife,Equipment,,260.0,400.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
104,6,Clarino 415 Shoes,Shoes,,1470.0,2100.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
105,6,Gibson Lites 8 Heels,Shoes,,1400.0,2000.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
106,5,Pershing Cap Almers,Accessories,,1100.0,2000.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
107,1,Pavehawk Black,Clothes,,600.0,1000.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
108,2,Rig Belt,Equipment,,650.0,1000.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
109,1,Combat Socks,Clothes,,48.0,80.0,11,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
110,2,Rig Belt Leather,Equipment,,1300.0,2000.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
111,5,Shoulderboard Blue Dack,Accessories,,1100.0,2000.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
112,2,Clakino,Equipment,,1300.0,2000.0,9,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
113,5,Police Major Buckle,Accessories,,1100.0,2000.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
114,1,Ath Shoes 8 ),Clothes,,1200.0,2000.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
115,2,Leather Belt,Equipment,,1300.0,2000.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
116,5,Leather,Accessories,,1100.0,2000.0,34,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
117,1,Pnp Socks,Clothes,,90.0,150.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
118,6,A Shoes 8,Shoes,,1295.0,1850.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
119,1,Goa C Upper,Clothes,,555.0,925.0,15,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
120,2,Fibar Rig,Equipment,,1170.0,1800.0,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
121,6,Pnp Shoes,Shoes,,1260.0,1800.0,33,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
122,2,Ripple Bag,Equipment,,1170.0,1800.0,23,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
123,1,Somar,Clothes,,1074.0,1790.0,27,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
124,5,Chinglopez Bullcap,Accessories,,481.25,875.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
125,1,Tropical Black,Clothes,,1020.0,1700.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
126,1,Philippine Non Commissioned Officers Search And Rescue,Clothes,,510.0,850.0,14,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
127,2,Shoulderboard,Equipment,,1105.0,1700.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
128,1,Search And Rescue Uniform Shirt,Clothes,,510.0,850.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
129,5,Shoulderboard White Dack,Accessories,,935.0,1700.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
130,1,Non Camouflage Olive Green,Clothes,,72.0,120.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
131,1,4S White,Clothes,,243.0,405.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
132,1,Og Cotton,Clothes,,108.0,180.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
133,3,Bagong P Pin,Metal,,90.75,165.0,15,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
134,5,Goab & Lower,Accessories,,880.0,1600.0,23,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
135,1,Olive Green,Clothes,,72.0,120.0,6,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
136,1,Akids,Clothes,,240.0,400.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
137,2,Whistle,Equipment,,45.5,70.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
138,2,Duffle Bag,Equipment,,975.0,1500.0,9,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
139,2,Cytac Glock,Equipment,,975.0,1500.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
140,5,7 Days Mag,Accessories,,412.5,750.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
141,5,White Gloves,Accessories,,24.75,45.0,10,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
142,2,Riffle Bag,Equipment,,975.0,1500.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
143,2,Tactical Helmet,Equipment,,325.0,500.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
144,1,Charol Socks,Clothes,,54.0,90.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
145,4,Woven Patch,Patches,,81.0,180.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
146,1,06 Shirt,Clothes,,72.0,120.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
147,3,Miniature Awards,Metal,,192.5,350.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
148,1,A Shirt Pco,Clothes,,285.0,475.0,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
149,5,Pnco Pershing Cap,Accessories,,385.0,700.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
150,1,Ps,Clothes,,840.0,1400.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
151,1,Long White Socks,Clothes,,42.0,70.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
152,3,Santi Buckle,Metal,,715.0,1300.0,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
153,5,Plt Bullcap,Accessories,,357.5,650.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
154,1,Botton 4 White Dack,Clothes,,780.0,1300.0,34,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
155,2,Mag Pouch Vest,Equipment,,162.5,250.0,12,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
156,1,Og Unfiorm,Clothes,,72.0,120.0,0,1,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
157,2,Handcuffs Case,Equipment,,195.0,300.0,24,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
158,2,L Vest,Equipment,,780.0,1200.0,33,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
159,3,Skeletal Buckle,Metal,,110.0,200.0,5,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
160,1,Rs Sar Uniform,Clothes,,720.0,1200.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
161,2,Medium Vest,Equipment,,780.0,1200.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
162,3,Collar Pin,Metal,,33.0,60.0,11,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
163,1,6 Packet,Clothes,,228.0,380.0,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
164,1,6 Pocket Short,Clothes,,228.0,380.0,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
165,3,Pricobuckle,Metal,,605.0,1100.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
166,1,Rotc Uniform,Clothes,,660.0,1100.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
167,2,Pledge Metal Polish,Equipment,,227.5,350.0,6,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
168,3,Badge Santi,Metal,,605.0,1100.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
169,5,Hanky,Accessories,,27.5,50.0,7,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
170,2,Pco In Sac,Equipment,,715.0,1100.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
171,1,Ching Lopez Cap,Clothes,,660.0,1100.0,36,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
172,4,Flight Big,Patches,,157.5,350.0,16,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
173,1,"Sap C S L (""Special Action Pants Camouflage Style Large""",Clothes,,600.0,1000.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
174,1,Pave Pants Grey,Clothes,,600.0,1000.0,34,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
175,2,Low Carry,Equipment,,325.0,500.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
176,5,Poco Buckle Garrison,Accessories,,550.0,1000.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
177,1,Police Major Bushcoat,Clothes,,600.0,1000.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
178,6,Boots,Shoes,,700.0,1000.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
179,2,Belt Bag,Equipment,,650.0,1000.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
180,1,Pavehawk B,Clothes,,600.0,1000.0,34,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
181,6,Pave Hawk 8 Xl Combat Boots,Shoes,,700.0,1000.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
182,2,Holster Leather Fiber,Equipment,,325.0,500.0,6,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
183,1,Plain Jacket,Clothes,,600.0,1000.0,23,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
184,2,Timba,Equipment,,162.5,250.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
185,3,Layers Pin,Metal,,275.0,500.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
186,3,Oscc Pin,Metal,,275.0,500.0,33,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
187,1,Pnco Bullcap,Clothes,,210.0,350.0,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
188,5,White Hanky,Accessories,,24.75,45.0,14,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
189,1,Qrp Shirt,Clothes,,570.0,950.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
190,1,Necktie,Clothes,,120.0,200.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
191,1,White,Clothes,,138.0,230.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
192,3,Change Rank,Metal,,77.0,140.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
193,1,Upper C,Clothes,,540.0,900.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
194,2,Set School Supplies,Equipment,,292.5,450.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
195,2,Security Guard Belt,Equipment,,585.0,900.0,25,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
196,1,Shirt,Clothes,,90.0,150.0,39,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
197,2,7 Days Bag,Equipment,,585.0,900.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
198,3,Buckle,Metal,,82.5,150.0,27,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
199,4,Bagong Pilipinas,Patches,,90.0,200.0,16,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
200,1,Gon C Upper,Clothes,,510.0,850.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
201,1,O Green,Clothes,,72.0,120.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
202,4,Burda,Patches,,6.75,15.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
203,1,A Kids 1 5 Im,Clothes,,240.0,400.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
204,1,A Kids Xl Blue,Clothes,,240.0,400.0,26,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
205,3,Bfp Awards,Metal,,440.0,800.0,15,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
206,2,Bikini Holster,Equipment,,260.0,400.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
207,1,Pmaj Bullcap,Clothes,,480.0,800.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
208,1,Pnco Buehle,Clothes,,480.0,800.0,20,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
209,2,Cordura Bag,Equipment,,520.0,800.0,36,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
210,1,A Kids,Clothes,,240.0,400.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
211,1,Hammock,Clothes,,240.0,400.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
212,1,S Blue White,Clothes,,240.0,400.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
213,1,Ladies Pershing Cap,Clothes,,450.0,750.0,28,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
214,2,Rig Sg,Equipment,,487.5,750.0,19,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
215,3,Pin,Metal,,82.5,150.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
216,5,Cobra Belt,Accessories,,206.25,375.0,16,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
217,5,Police Non Commissioned Officer Bullcap,Accessories,,200.75,365.0,32,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
218,2,F Belt,Equipment,,455.0,700.0,37,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
219,1,Ath Pants,Clothes,,420.0,700.0,33,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
220,6,Goa Faits,Shoes,,490.0,700.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
221,2,Pail Dipper Hanger,Equipment,,227.5,350.0,31,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
222,1,Berret Blue,Clothes,,210.0,350.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
223,5,Police Major Emboard Type,Accessories,,385.0,700.0,21,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
224,3,Change Rank Pltcol,Metal,,181.5,330.0,8,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
225,3,Rank Pin Metal,Metal,,357.5,650.0,23,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
226,2,No Shine Garrison,Equipment,,211.25,325.0,17,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
227,5,Gold Buckle Black Nylon,Accessories,,71.5,130.0,27,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
228,1,R Neck T Shirt,Clothes,,72.0,120.0,13,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
229,1,Raincoat,Clothes,,360.0,600.0,33,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
230,2,So Np Neuro Psychological,Equipment,,195.0,300.0,22,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
231,5,Belt Ganson,Accessories,,165.0,300.0,29,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
232,2,Baton With Pouch,Equipment,,390.0,600.0,30,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
233,2,Sleeping Matt,Equipment,,130.0,200.0,18,0,,1,2024-01-01 00:00:00,2024-01-01 00:00:00
